     0 session.created                         {"channel": "browser_voice"}
   250 provider.session_created                {"provider": "openai_realtime", "model": "gpt-realtime"}
   251 state.changed                           dialog:IDLE->LISTENING [session_started]
   251 session.started                         {}
   251 state.changed                           activity:OPENING->ENGAGED [opened]
  2626 user.speech_started                     {"detector": "silero"}
  8143 user.speech_committed            turn_1 {"turn_id": "turn_1", "speech_ms": 4340}
  8144 state.changed                    turn_1 dialog:LISTENING->THINKING [end_of_turn]
  8144 state.changed                    turn_1 activity:ENGAGED->COLLECTING [field_needed]
  8232 assistant.response_started       turn_1 {"response_id": "resp_ERR8BzijWU0yJPlqe3bIp"}
  8232 state.changed                    turn_1 dialog:THINKING->SPEAKING [response_started]
  8233 transport.playout_started        turn_1 {"response_id": "resp_ERR8BzijWU0yJPlqe3bIp"}
  8989 user.transcript                  turn_1 {"text_len": 63, "text_sha256_12": "e8e3024e6eef"}
  9448 user.speech_started              turn_1 {"detector": "silero"}
  9527 user.speech_started              turn_1 {"detector": "silero", "barge_in": true}
  9527 interruption.detected            turn_1 {"response_id": "resp_ERR8BzijWU0yJPlqe3bIp", "audio_ms_sent": 4000, "after_generation": false}
  9528 state.changed                    turn_1 dialog:SPEAKING->INTERRUPTED [barge_in]
  9528 assistant.response_cancelled     turn_1 {"response_id": "resp_ERR8BzijWU0yJPlqe3bIp", "t2_ms": 9528}
  9531 assistant.response_truncated     turn_1 {"response_id": "resp_ERR8BzijWU0yJPlqe3bIp", "audio_end_ms": 1293}
  9532 transport.playout_stopped        turn_1 {"response_id": "resp_ERR8BzijWU0yJPlqe3bIp", "client_ts_ms": null}
 13848 state.changed                    turn_1 dialog:INTERRUPTED->LISTENING [reconciled]
 13849 user.speech_committed            turn_2 {"turn_id": "turn_2", "speech_ms": 3160}
 13849 state.changed                    turn_2 dialog:LISTENING->THINKING [end_of_turn]
 13849 state.changed                    turn_2 activity:COLLECTING->ENGAGED [user_engaged]
 13849 state.changed                    turn_2 activity:ENGAGED->COLLECTING [field_needed]
 13914 assistant.response_started       turn_2 {"response_id": "resp_ERR8HPXL7yBQK1sxx14rb"}
 13914 state.changed                    turn_2 dialog:THINKING->SPEAKING [response_started]
 13916 transport.playout_started        turn_2 {"response_id": "resp_ERR8HPXL7yBQK1sxx14rb"}
 14591 user.transcript                  turn_2 {"text_len": 35, "text_sha256_12": "794a27daa73a"}
 14711 user.speech_started              turn_2 {"detector": "silero"}
 14737 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 14737 tool.requested                   turn_2 {"call_id": "call_p9o9WbxOKld3k7K1", "tool_id": "record_field", "step": "received"}
 14738 tool.execution_started           turn_2 {"call_id": "call_p9o9WbxOKld3k7K1", "tool_id": "record_field"}
 14738 tool.execution_completed         turn_2 {"call_id": "call_p9o9WbxOKld3k7K1", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 14739 decision.made                    turn_2 {"kind": "validate_field", "field": "items", "source": "RULE", "ok": true}
 14739 field.recorded                   turn_2 {"name": "items", "provenance": "USER_STATED"}
 14739 state.changed                    turn_2 activity:COLLECTING->COLLECTING [field_needed]
 14740 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_returned]
 14742 assistant.response_ended         turn_2 {"response_id": "resp_ERR8HPXL7yBQK1sxx14rb", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 14742 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
 14810 assistant.response_started       turn_2 {"response_id": "resp_ERR8Hn64BXJRz7bTNLerw"}
 14810 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
 14814 user.speech_started              turn_2 {"detector": "silero", "barge_in": true}
 14814 interruption.detected            turn_2 {"response_id": "resp_ERR8Hn64BXJRz7bTNLerw", "audio_ms_sent": 0, "after_generation": false}
