     0 session.created                         {"channel": "browser_voice"}
   958 provider.session_created                {"provider": "openai_realtime", "model": "gpt-realtime"}
   958 state.changed                           dialog:IDLE->LISTENING [session_started]
   959 session.started                         {}
   959 state.changed                           activity:OPENING->ENGAGED [opened]
  2605 user.speech_started                     {"detector": "silero_fallback_energy"}
  3905 user.speech_committed            turn_1 {"turn_id": "turn_1", "speech_ms": 880}
  3905 state.changed                    turn_1 dialog:LISTENING->THINKING [end_of_turn]
  3905 state.changed                    turn_1 activity:ENGAGED->COLLECTING [field_needed]
  3991 assistant.response_started       turn_1 {"response_id": "resp_ERQYqXpikcJzZhK3NDJiE"}
  3992 state.changed                    turn_1 dialog:THINKING->SPEAKING [response_started]
  3993 transport.playout_started        turn_1 {"response_id": "resp_ERQYqXpikcJzZhK3NDJiE"}
  4104 user.speech_started              turn_1 {"detector": "silero_fallback_energy"}
  4185 user.speech_started              turn_1 {"detector": "silero_fallback_energy", "barge_in": true}
  4185 interruption.detected            turn_1 {"response_id": "resp_ERQYqXpikcJzZhK3NDJiE", "audio_ms_sent": 0, "after_generation": false}
  4185 state.changed                    turn_1 dialog:SPEAKING->INTERRUPTED [barge_in]
  4186 assistant.response_cancelled     turn_1 {"response_id": "resp_ERQYqXpikcJzZhK3NDJiE", "t2_ms": 4186}
  4246 transport.playout_stopped        turn_1 {"response_id": "resp_ERQYqXpikcJzZhK3NDJiE", "client_ts_ms": null}
  5167 user.transcript                  turn_1 {"text_len": 12, "text_sha256_12": "673864421395"}
  8065 state.changed                    turn_1 dialog:INTERRUPTED->LISTENING [reconciled]
  8065 user.speech_committed            turn_2 {"turn_id": "turn_2", "speech_ms": 2880}
  8065 state.changed                    turn_2 dialog:LISTENING->THINKING [end_of_turn]
  8066 state.changed                    turn_2 activity:COLLECTING->ENGAGED [user_engaged]
  8066 state.changed                    turn_2 activity:ENGAGED->COLLECTING [field_needed]
  8127 assistant.response_started       turn_2 {"response_id": "resp_ERQYulROfVS4OHRrXfO3I"}
  8127 state.changed                    turn_2 dialog:THINKING->SPEAKING [response_started]
  8128 transport.playout_started        turn_2 {"response_id": "resp_ERQYulROfVS4OHRrXfO3I"}
  8766 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
  8767 tool.requested                   turn_2 {"call_id": "call_0G5lDS4R0pfl0snb", "tool_id": "record_field", "step": "received"}
  8767 tool.execution_started           turn_2 {"call_id": "call_0G5lDS4R0pfl0snb", "tool_id": "record_field"}
  8767 tool.execution_completed         turn_2 {"call_id": "call_0G5lDS4R0pfl0snb", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
  8768 decision.made                    turn_2 {"kind": "validate_field", "field": "items", "source": "RULE", "ok": true}
  8768 field.recorded                   turn_2 {"name": "items", "provenance": "USER_STATED"}
  8768 state.changed                    turn_2 activity:COLLECTING->COLLECTING [field_needed]
  8769 state.changed                    turn_2 dialog:WAITING_TOOL->THINKING [tool_returned]
  8772 assistant.response_ended         turn_2 {"response_id": "resp_ERQYulROfVS4OHRrXfO3I", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
  8772 state.changed                    turn_2 dialog:THINKING->LISTENING [nothing_to_say]
  8827 assistant.response_started       turn_2 {"response_id": "resp_ERQYvcjpQtUZDXb8XXJ4M"}
  8827 state.changed                    turn_2 dialog:LISTENING->SPEAKING [response_started]
  8828 transport.playout_started        turn_2 {"response_id": "resp_ERQYvcjpQtUZDXb8XXJ4M"}
  9302 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
  9302 tool.requested                   turn_2 {"call_id": "call_8BiEXwKSb5kapMEw", "tool_id": "lookup_knowledge", "step": "received"}
  9302 tool.execution_started           turn_2 {"call_id": "call_8BiEXwKSb5kapMEw", "tool_id": "lookup_knowledge"}
  9303 tool.execution_completed         turn_2 {"call_id": "call_8BiEXwKSb5kapMEw", "tool_id": "lookup_knowledge", "provenance": "KNOWLEDGE_APPROVED", "latency_ms": 0}
