     0 session.created                         {"channel": "browser_voice"}
   507 provider.session_created                {"provider": "openai_realtime", "model": "gpt-realtime"}
   507 state.changed                           dialog:IDLE->LISTENING [session_started]
   508 session.started                         {}
   508 state.changed                           activity:OPENING->ENGAGED [opened]
  2603 user.speech_started                     {"detector": "silero_fallback_energy"}
  3905 user.speech_committed            turn_1 {"turn_id": "turn_1", "speech_ms": 880}
  3905 state.changed                    turn_1 dialog:LISTENING->THINKING [end_of_turn]
  3905 state.changed                    turn_1 activity:ENGAGED->COLLECTING [field_needed]
  4002 assistant.response_started       turn_1 {"response_id": "resp_ERQbMxFTLUgccYZnlDb0K"}
  4002 state.changed                    turn_1 dialog:THINKING->SPEAKING [response_started]
  4005 transport.playout_started        turn_1 {"response_id": "resp_ERQbMxFTLUgccYZnlDb0K"}
  4103 user.speech_started              turn_1 {"detector": "silero_fallback_energy"}
  4183 user.speech_started              turn_1 {"detector": "silero_fallback_energy", "barge_in": true}
  4183 interruption.detected            turn_1 {"response_id": "resp_ERQbMxFTLUgccYZnlDb0K", "audio_ms_sent": 0, "after_generation": false}
  4184 state.changed                    turn_1 dialog:SPEAKING->INTERRUPTED [barge_in]
  4184 assistant.response_cancelled     turn_1 {"response_id": "resp_ERQbMxFTLUgccYZnlDb0K", "t2_ms": 4184}
  4234 transport.playout_stopped        turn_1 {"response_id": "resp_ERQbMxFTLUgccYZnlDb0K", "client_ts_ms": null}
  6140 user.transcript                  turn_1 {"text_len": 12, "text_sha256_12": "673864421395"}
  8064 state.changed                    turn_1 dialog:INTERRUPTED->LISTENING [reconciled]
  8064 user.speech_committed            turn_2 {"turn_id": "turn_2", "speech_ms": 2880}
  8064 state.changed                    turn_2 dialog:LISTENING->THINKING [end_of_turn]
  8065 state.changed                    turn_2 activity:COLLECTING->ENGAGED [user_engaged]
  8065 state.changed                    turn_2 activity:ENGAGED->COLLECTING [field_needed]
  8124 assistant.response_started       turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN"}
  8125 state.changed                    turn_2 dialog:THINKING->SPEAKING [response_started]
  8126 transport.playout_started        turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN"}
  8661 user.transcript                  turn_2 {"text_len": 42, "text_sha256_12": "d412be919444"}
 11457 assistant.response_ended         turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN", "audio_ms": 15200, "text_len": 160, "text_sha256_12": "fc53bc2cb4c6"}
 11458 state.changed                    turn_2 dialog:SPEAKING->LISTENING [response_done]
 12971 user.speech_started              turn_2 {"detector": "silero_fallback_energy"}
 13052 user.speech_started              turn_2 {"detector": "silero_fallback_energy", "barge_in": true}
 13052 interruption.detected            turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN", "audio_ms_sent": 15200, "after_generation": true}
 13052 assistant.response_cancelled     turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN", "t2_ms": 13052}
 13353 failure.classified               turn_2 {"class": "playout_stop_timeout", "response_id": "resp_ERQbQ96NrPL14q1TOfIEN", "forced": true}
 13353 assistant.response_truncated     turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN", "audio_end_ms": 4925}
 13354 transport.playout_stopped        turn_2 {"response_id": "resp_ERQbQ96NrPL14q1TOfIEN", "client_ts_ms": null}
 17492 user.speech_committed            turn_3 {"turn_id": "turn_3", "speech_ms": 2820}
 17492 state.changed                    turn_3 dialog:LISTENING->THINKING [end_of_turn]
 17493 state.changed                    turn_3 activity:COLLECTING->ENGAGED [user_engaged]
 17493 state.changed                    turn_3 activity:ENGAGED->COLLECTING [field_needed]
 17560 assistant.response_started       turn_3 {"response_id": "resp_ERQba3dcpHdViI7WgZto1"}
 17560 state.changed                    turn_3 dialog:THINKING->SPEAKING [response_started]
 17561 transport.playout_started        turn_3 {"response_id": "resp_ERQba3dcpHdViI7WgZto1"}
 18540 state.changed                    turn_3 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 18541 tool.requested                   turn_3 {"call_id": "call_UfTWH97Mbj9Y4TNN", "tool_id": "record_field", "step": "received"}
 18541 tool.execution_started           turn_3 {"call_id": "call_UfTWH97Mbj9Y4TNN", "tool_id": "record_field"}
 18541 tool.execution_completed         turn_3 {"call_id": "call_UfTWH97Mbj9Y4TNN", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 18542 decision.made                    turn_3 {"kind": "validate_field", "field": "items", "source": "RULE", "ok": true}
 18542 field.recorded                   turn_3 {"name": "items", "provenance": "USER_STATED"}
 18543 state.changed                    turn_3 activity:COLLECTING->COLLECTING [field_needed]
 18543 state.changed                    turn_3 dialog:WAITING_TOOL->THINKING [tool_returned]
 18544 assistant.response_ended         turn_3 {"response_id": "resp_ERQba3dcpHdViI7WgZto1", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 18545 state.changed                    turn_3 dialog:THINKING->LISTENING [nothing_to_say]
 18611 assistant.response_started       turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab"}
 18611 state.changed                    turn_3 dialog:LISTENING->SPEAKING [response_started]
 18613 transport.playout_started        turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab"}
