     0 session.created                         {"channel": "browser_voice"}
   249 provider.session_created                {"provider": "openai_realtime", "model": "gpt-realtime"}
   249 state.changed                           dialog:IDLE->LISTENING [session_started]
   249 session.started                         {}
   250 state.changed                           activity:OPENING->ENGAGED [opened]
  2625 user.speech_started                     {"detector": "silero"}
  8143 user.speech_committed            turn_1 {"turn_id": "turn_1", "speech_ms": 4340}
  8143 state.changed                    turn_1 dialog:LISTENING->THINKING [end_of_turn]
  8144 state.changed                    turn_1 activity:ENGAGED->COLLECTING [field_needed]
  8232 assistant.response_started       turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf"}
  8233 state.changed                    turn_1 dialog:THINKING->SPEAKING [response_started]
  8234 transport.playout_started        turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf"}
 10043 user.transcript                  turn_1 {"text_len": 62, "text_sha256_12": "508c8825cafe"}
 11567 assistant.response_ended         turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf", "audio_ms": 14400, "text_len": 145, "text_sha256_12": "5b98a1400d41"}
 11568 state.changed                    turn_1 dialog:SPEAKING->LISTENING [response_done]
 13351 user.speech_started              turn_1 {"detector": "silero"}
 13430 user.speech_started              turn_1 {"detector": "silero", "barge_in": true}
 13430 interruption.detected            turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf", "audio_ms_sent": 14400, "after_generation": true}
 13430 assistant.response_cancelled     turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf", "t2_ms": 13430}
 13432 assistant.response_truncated     turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf", "audio_end_ms": 5195}
 13434 transport.playout_stopped        turn_1 {"response_id": "resp_ERR9SWdzyaq0GWy3TmZyf", "client_ts_ms": null}
 19270 user.speech_committed            turn_2 {"turn_id": "turn_2", "speech_ms": 4740}
 19270 state.changed                    turn_2 dialog:LISTENING->THINKING [end_of_turn]
 19271 state.changed                    turn_2 activity:COLLECTING->ENGAGED [user_engaged]
 19271 state.changed                    turn_2 activity:ENGAGED->COLLECTING [field_needed]
 19334 assistant.response_started       turn_2 {"response_id": "resp_ERR9dl37SK4MS5s0ymlkw"}
 19334 state.changed                    turn_2 dialog:THINKING->SPEAKING [response_started]
 19336 transport.playout_started        turn_2 {"response_id": "resp_ERR9dl37SK4MS5s0ymlkw"}
 19897 state.changed                    turn_2 dialog:SPEAKING->WAITING_TOOL [tool_requested]
